stock1,stock2,pvalue
ACN,AMD,0.03776259658490311
ACN,HPQ,0.036280270432806766
ACN,INTU,0.013337821423472741
ACN,NXPI,0.027520183972736735
ACN,TEL,0.005590856725788967
ADBE,ANSS,0.027977738353335516
ADI,AMAT,0.04018100859475145
ADI,CDNS,0.016757847553539814
ADI,IT,0.0016061630735534993
ADI,KLAC,0.01347134637944075
ADI,MPWR,0.004537890293703794
ADI,MSFT,0.009428510469766579
ADI,MSI,0.004203138723502124
ADI,ORCL,0.005772475413750323
ADI,PANW,0.005791028392572563
ADI,ROP,0.011741225163663554
ADI,SNPS,0.03434108921855907
ADI,TEL,0.01620698282172161
ADI,TXN,0.04104902896544376
ADSK,ANSS,0.01585962916404536
AMAT,DELL,0.019114373519771587
AMAT,INTU,0.015427517115294095
AMAT,LRCX,0.03379757206236925
AMAT,MPWR,0.0455614932294712
AMAT,MSFT,0.04450117511182037
AMAT,MU,0.007522757869303959
AMAT,NXPI,2.978154940851069e-07
AMAT,TEL,0.0056046717019309624
AMAT,TXN,0.01341751231198723
AMD,MU,0.046966364566468556
AMD,NXPI,0.020760032881486184
AMD,TEL,0.03603256951123131
AMD,TXN,0.04950387178788427
AMD,WDAY,0.03827887313856308
ANET,ANSS,0.04503685397461676
ANET,FICO,0.0055334384077031125
ANET,KLAC,0.04644813916804357
ANET,MPWR,0.025608561518907474
ANET,MSI,0.012599587643136262
ANET,NVDA,0.004872413560464356
ANET,ORCL,0.0035961957479385452
ANET,PANW,0.003518294930151917
ANET,QCOM,0.03759323776366469
ANET,ROP,0.0014679359443285742
ANET,TEL,0.0077775575611251134
ANET,TXN,0.017847495145410838
ANSS,WDAY,0.0016691380307251823
APH,AVGO,0.0005615014849640236
APH,FICO,0.040325884699409925
APH,IBM,0.014976749860872688
APH,MSI,0.0035398707062409968
APH,PANW,0.029127986431398602
APH,ROP,0.005919875882923435
APH,TEL,0.028161682510399758
AVGO,FICO,3.086378405844814e-05
AVGO,GDDY,0.008114237535342886
AVGO,GLW,0.02580154271296459
AVGO,IBM,0.0002704575419719004
AVGO,MSI,0.002632146627167032
AVGO,NOW,0.013640010631826724
AVGO,NVDA,0.0017297801332806484
AVGO,ORCL,0.012867035996204342
AVGO,PANW,0.005514163911877906
AVGO,ROP,0.0007890927196807561
AVGO,TEL,0.009885310366633239
AVGO,TXN,0.04695540355399721
CDNS,IT,0.03403606249620736
CDNS,MPWR,0.011212411185969462
CDNS,MSFT,0.04688834004100811
CDNS,PANW,0.012403806998278595
CDNS,ROP,0.014488111568219171
CDNS,TEL,0.026315468464949227
CRM,CTSH,0.022806124154969278
CRM,QCOM,0.033944460928973234
CRM,TEL,0.031484810263750725
CRM,TXN,0.02856733136294434
CRM,WDAY,0.018087520523096676
CRWD,GLW,0.043899815574272395
CRWD,QCOM,0.036643444316570586
CRWD,ROP,0.028807361804634068
CRWD,TEL,0.014812477401296093
CRWD,TXN,0.046002066724688345
CSCO,CTSH,0.02409925915165395
CSCO,FTNT,0.01822317161597635
CSCO,TEL,0.016235465111883476
CTSH,WDAY,0.013648414954435428
DELL,INTU,0.01834501827857283
DELL,KLAC,0.008259482338868309
DELL,LRCX,0.010141368367109037
DELL,MPWR,0.0005919322029246023
DELL,MSFT,0.004191871972560656
DELL,NXPI,0.0125545036035209
DELL,QCOM,0.009017138827069589
DELL,ROP,0.0007479602459608659
DELL,TEL,0.01007892778605692
DELL,TXN,0.021737163472626813
DELL,WDAY,0.03697235500522287
FICO,GDDY,0.04536565333151081
FICO,GLW,0.03086197484569212
FICO,IBM,0.036340025471416015
FICO,NOW,0.022330405903598027
FICO,NVDA,0.0071625613809515164
FICO,ORCL,0.023361691089210743
FICO,PANW,0.03447185579639874
FICO,ROP,0.0054360797059197375
FICO,TEL,0.0471894649876896
FTNT,TEL,0.017997422390777864
GDDY,GLW,0.007178931545064581
GDDY,IBM,0.003433330206985217
GDDY,QCOM,0.04834212506526759
GDDY,ROP,0.047533254843673906
GDDY,TEL,0.04698334255531954
GDDY,TXN,0.0362611118876126
GLW,TXN,0.048413821524261165
HPQ,TXN,0.019817047637201945
IBM,MSI,0.025134907420975124
IBM,NOW,0.025962368760808107
IBM,PANW,0.043242968806436057
IBM,ROP,0.030975742547052564
INTC,KEYS,0.041212770744036155
INTU,LRCX,0.015787846141466305
INTU,MPWR,0.01067636123845426
INTU,MU,0.0459990809366056
INTU,NXPI,0.006200901950344654
INTU,QCOM,0.03716398135177659
INTU,ROP,0.006677802097032835
INTU,TEL,0.0003967491949602882
INTU,TXN,0.017915260991316125
IT,MPWR,0.014619870227109626
IT,PANW,0.043119559291234545
IT,ROP,0.024010634054451446
IT,SNPS,0.030288489286133195
IT,TXN,0.04824309827617818
KLAC,MPWR,0.01678714364043231
KLAC,MSFT,0.005338695486737968
KLAC,PANW,0.0018500278607585718
KLAC,ROP,0.0005426762358673702
KLAC,TEL,0.013322666429379303
KLAC,TXN,0.043053054306817655
LRCX,MSFT,0.045042475470195624
LRCX,MU,0.01446237591412978
LRCX,NXPI,0.00023993868978213764
LRCX,ROP,0.005846979545487062
LRCX,TEL,0.015282563415462632
LRCX,TXN,0.04609742409342803
LRCX,WDAY,0.03856202889034476
MPWR,MSFT,0.030317432761683492
MPWR,MU,0.025111959574096905
MPWR,NXPI,0.013336580838643756
MPWR,ORCL,0.04906631168885
MPWR,ROP,0.015358946124084883
MPWR,SNPS,0.01878790050226443
MPWR,TEL,0.012323232613771593
MPWR,TXN,0.010228120775702431
MSFT,MU,0.047177369399219626
MSFT,NXPI,0.015242405262185652
MSFT,PANW,0.04781504509546852
MSFT,ROP,0.00021261926392339436
MSFT,TEL,0.006036075591384546
MSFT,TXN,0.02765696915118175
MSI,ORCL,0.00048713148755056684
MSI,PANW,0.0006740999903632121
MSI,ROP,0.014676078745340295
MU,NXPI,0.001662670005392522
MU,QCOM,0.0012648823727299504
MU,TEL,0.01431158545177399
MU,TXN,0.009767234898961686
MU,WDAY,0.027900631326809297
NOW,NVDA,0.032172307186328734
NOW,ROP,0.008324464575640164
NOW,TEL,0.011331268741258671
NOW,TXN,0.03764182613750574
NVDA,ORCL,0.03380201299342413
NVDA,QCOM,0.025584709951183785
NVDA,ROP,0.0009902704986629873
NVDA,TEL,0.006436960832289898
NVDA,TXN,0.014984115352365823
NXPI,TEL,0.008279380343691092
NXPI,TXN,0.018231482663967406
ORCL,PANW,0.026094966468390705
ORCL,ROP,0.009418614382585365
ORCL,TEL,0.03970369305034806
ORCL,TXN,0.014611591616819809
PANW,ROP,0.004315470345582962
PANW,TEL,0.008657150649455053
PLTR,TEL,0.023353447004688676
QCOM,TEL,0.04575175378616183
QCOM,TXN,0.03315396500762821
ROP,TEL,0.0239582466209409
SNPS,TEL,0.03319104388432921
TEL,TXN,0.0025929787666133827
